Twiddle,Step,Kp,Ki,Kd,angle,cte,d_error,i_error,
0,0,0.140427,0,2.8306,-1.2019,0.1969,0.0301,87.7831,
0,0,0.140427,0,2.8306,-2.3337,0.2107,0.0146,87.98,
0,0,0.140427,0,2.8306,-1.2881,0.224,0.0138,88.1907,
0,0,0.140427,0,2.8306,-1.2799,0.2368,0.0133,88.4147,
0,0,0.140427,0,2.8306,-1.2912,0.2491,0.0128,88.6515,
0,0,0.140427,0,2.8306,-1.3008,0.2609,0.0123,88.9006,
0,0,0.140427,0,2.8306,-1.3086,0.272,0.0118,89.1615,
0,0,0.140427,0,2.8306,-1.3086,0.272,0.0111,89.4335,
0,0,0.140427,0,2.8306,-1.3041,0.2826,0,89.7055,
0,0,0.140427,0,2.8306,-0.5186,0.2927,0.0106,89.9881,
0,0,0.140427,0,2.8306,-1.3059,0.3023,0.0101,90.2808,
0,0,0.140427,0,2.8306,-1.306,0.3111,0.0096,90.5831,
0,0,0.140427,0,2.8306,-1.3043,0.3193,0.0088,90.8942,
0,0,0.140427,0,2.8306,-1.2786,0.3268,0.0082,91.2135,
0,0,0.140427,0,2.8306,-1.2649,0.3335,0.0075,91.5403,
0,0,0.140427,0,2.8306,-1.2417,0.3396,0.0067,91.8738,
0,0,0.140427,0,2.8306,-1.2086,0.3449,0.0061,92.2134,
0,0,0.140427,0,2.8306,-1.1876,0.3495,0.0053,92.5583,
0,0,0.140427,0,2.8306,-1.1496,0.3533,0.0046,92.9078,
0,0,0.140427,0,2.8306,-1.1162,0.3564,0.0038,93.2611,
0,0,0.140427,0,2.8306,-1.1162,0.3564,0.0031,93.6175,
0,0,0.140427,0,2.8306,-1.0342,0.3587,0,93.9739,
0,0,0.140427,0,2.8306,-0.8149,0.3603,0.0023,94.3326,
0,0,0.140427,0,2.8306,-0.9857,0.3612,0.0016,94.6929,
0,0,0.140427,0,2.8306,-0.9418,0.3614,0.0009,95.0541,
0,0,0.140427,0,2.8306,-0.8954,0.3608,0.0002,95.4155,
0,0,0.140427,0,2.8306,-0.8466,0.3594,-0.0006,95.7763,
0,0,0.140427,0,2.8306,-0.8466,0.3594,-0.0014,96.1357,
0,0,0.140427,0,2.8306,-0.7263,0.3574,0,96.4951,
0,0,0.140427,0,2.8306,-0.8254,0.3546,-0.002,96.8525,
0,0,0.140427,0,2.8306,-0.6769,0.3511,-0.0028,97.2071,
0,0,0.140427,0,2.8306,-0.6104,0.347,-0.0035,97.5582,
0,0,0.140427,0,2.8306,-0.5486,0.3422,-0.0041,97.9052,
0,0,0.140427,0,2.8306,-0.5486,0.3422,-0.0048,98.2474,
0,0,0.140427,0,2.8306,-0.4253,0.3368,0,98.5896,
0,0,0.140427,0,2.8306,-0.765,0.3306,-0.0054,98.9264,
0,0,0.140427,0,2.8306,-0.3639,0.3239,-0.0062,99.257,
0,0,0.140427,0,2.8306,-0.2856,0.3166,-0.0067,99.5809,
0,0,0.140427,0,2.8306,-0.2266,0.3088,-0.0073,99.8975,
0,0,0.140427,0,2.8306,-0.1586,0.3005,-0.0078,100.206,
0,0,0.140427,0,2.8306,-0.0958,0.2916,-0.0083,100.507,
0,0,0.140427,0,2.8306,-0.0313,0.2824,-0.0089,100.798,
0,0,0.140427,0,2.8306,0.0424,0.2727,-0.0092,101.081,
0,0,0.140427,0,2.8306,0.096,0.2627,-0.0097,101.354,
0,0,0.140427,0,2.8306,0.1654,0.2523,-0.01,101.616,
0,0,0.140427,0,2.8306,0.2217,0.2417,-0.0104,101.869,
0,0,0.140427,0,2.8306,0.2217,0.2417,-0.0106,102.11,
0,0,0.140427,0,2.8306,0.3379,0.2308,0,102.352,
0,0,0.140427,0,2.8306,-0.4122,0.2195,-0.0109,102.583,
0,0,0.140427,0,2.8306,0.3974,0.208,-0.0113,102.802,
0,0,0.140427,0,2.8306,0.4654,0.1964,-0.0115,103.01,
0,0,0.140427,0,2.8306,0.5199,0.1857,-0.0116,103.207,
0,0,0.140427,0,2.8306,0.5199,0.1857,-0.0107,103.392,
0,0,0.140427,0,2.8306,0.5416,0.1783,0,103.578,
0,0,0.140427,0,2.8306,-0.2156,0.1727,-0.0074,103.756,
0,0,0.140427,0,2.8306,0.334,0.1746,-0.0056,103.929,
0,0,0.140427,0,2.8306,0.334,0.1746,0.0019,104.104,
0,0,0.140427,0,2.8306,-0.3111,0.1804,0,104.278,
0,0,0.140427,0,2.8306,-0.1766,0.1867,0.0058,104.459,
0,0,0.140427,0,2.8306,-0.6074,0.1927,0.0063,104.645,
0,0,0.140427,0,2.8306,-0.6649,0.1984,0.006,104.838,
0,0,0.140427,0,2.8306,-0.6648,0.2038,0.0057,105.036,
0,0,0.140427,0,2.8306,-0.6635,0.2088,0.0054,105.24,
0,0,0.140427,0,2.8306,-0.6635,0.2088,0.005,105.449,
0,0,0.140427,0,2.8306,-0.6505,0.2134,0,105.658,
0,0,0.140427,0,2.8306,-0.2967,0.2178,0.0046,105.871,
0,0,0.140427,0,2.8306,-0.6384,0.2217,0.0044,106.089,
0,0,0.140427,0,2.8306,-0.6397,0.2253,0.0039,106.311,
0,0,0.140427,0,2.8306,-0.618,0.2353,0.0036,106.536,
0,0,0.140427,0,2.8306,-0.6094,0.2376,0.01,106.771,
0,0,0.140427,0,2.8306,-1.0974,0.2378,0.0023,107.009,
0,0,0.140427,0,2.8306,-0.5606,0.2368,0.0002,107.247,
0,0,0.140427,0,2.8306,-0.4127,0.2355,-0.001,107.484,
0,0,0.140427,0,2.8306,-0.3242,0.2338,-0.0013,107.719,
0,0,0.140427,0,2.8306,-0.2984,0.2316,-0.0017,107.953,
0,0,0.140427,0,2.8306,-0.2642,0.2289,-0.0022,108.184,
0,0,0.140427,0,2.8306,-0.2211,0.2259,-0.0027,108.413,
0,0,0.140427,0,2.8306,-0.1762,0.2224,-0.003,108.639,
0,0,0.140427,0,2.8306,-0.1444,0.2185,-0.0035,108.862,
0,0,0.140427,0,2.8306,-0.0968,0.2142,-0.0039,109.08,
0,0,0.140427,0,2.8306,-0.0548,0.2096,-0.0043,109.294,
0,0,0.140427,0,2.8306,-0.0114,0.2047,-0.0046,109.504,
0,0,0.140427,0,2.8306,0.026,0.1939,-0.0049,109.709,
0,0,0.140427,0,2.8306,0.026,0.1939,-0.0108,109.903,
0,0,0.140427,0,2.8306,0.5199,0.1883,0,110.096,
0,0,0.140427,0,2.8306,-0.2444,0.1823,-0.0056,110.285,
0,0,0.140427,0,2.8306,0.1716,0.1761,-0.006,110.467,
0,0,0.140427,0,2.8306,0.2209,0.1698,-0.0062,110.643,
0,0,0.140427,0,2.8306,0.2568,0.1633,-0.0063,110.813,
0,0,0.140427,0,2.8306,0.286,0.1567,-0.0065,110.976,
0,0,0.140427,0,2.8306,0.323,0.15,-0.0066,111.133,
0,0,0.140427,0,2.8306,0.3533,0.1433,-0.0067,111.283,
0,0,0.140427,0,2.8306,0.3839,0.1366,-0.0067,111.426,
0,0,0.140427,0,2.8306,0.4074,0.1299,-0.0067,111.563,
0,0,0.140427,0,2.8306,0.4074,0.1299,-0.0067,111.693,
0,0,0.140427,0,2.8306,0.4544,0.1233,0,111.823,
0,0,0.140427,0,2.8306,-0.0197,0.1166,-0.0066,111.946,
0,0,0.140427,0,2.8306,0.4705,0.1131,-0.0067,112.063,
0,0,0.140427,0,2.8306,0.5011,0.1154,-0.0035,112.176,
0,0,0.140427,0,2.8306,0.287,0.1215,0.0023,112.291,
0,0,0.140427,0,2.8306,-0.1316,0.1333,0.0061,112.413,
0,0,0.140427,0,2.8306,-0.4219,0.1491,0.0118,112.546,
0,0,0.140427,0,2.8306,-0.4219,0.1491,0.0158,112.695,
0,0,0.140427,0,2.8306,-1.2052,0.165,0,112.844,
0,0,0.140427,0,2.8306,-0.0871,0.1808,0.0159,113.009,
0,0,0.140427,0,2.8306,-1.2681,0.1963,0.0158,113.19,
0,0,0.140427,0,2.8306,-1.3165,0.2112,0.0155,113.386,
0,0,0.140427,0,2.8306,-1.3165,0.2112,0.0149,113.597,
0,0,0.140427,0,2.8306,-1.3595,0.2256,0,113.809,
